"Date","Price","Open","High","Low","Change %"
"Nov 13","2.0198","1.9964","2.0622","1.9912","1.19%"
"Oct 13","1.9960","2.0192","2.0242","1.9605","-1.12%"
"Sep 13","2.0186","2.0368","2.0872","1.9337","-1.06%"
"Aug 13","2.0403","1.9345","2.0750","1.9130","5.43%"
"Jul 13","1.9353","1.9303","1.9755","1.8983","0.34%"
"Jun 13","1.9288","1.8793","1.9630","1.8490","2.84%"
"May 13","1.8756","1.7918","1.8978","1.7848","4.61%"
"Apr 13","1.7930","1.8111","1.8170","1.7797","-0.88%"
"Mar 13","1.8090","1.7994","1.8281","1.7885","0.58%"
"Feb 13","1.7985","1.7575","1.8152","1.7426","2.25%"
"Jan 13","1.7589","1.7837","1.7926","1.7518","-1.39%"
"Dec 12","1.7837","1.7867","1.8030","1.7735","-0.20%"
"Nov 12","1.7873","1.7936","1.8110","1.7680","-0.35%"
"Oct 12","1.7936","1.7982","1.8279","1.7888","-0.16%"
"Sep 12","1.7964","1.8171","1.8300","1.7840","-1.22%"
"Aug 12","1.8186","1.7960","1.8330","1.7710","1.31%"
"Jul 12","1.7951","1.8065","1.8340","1.7860","-0.81%"
"Jun 12","1.8097","1.8677","1.8794","1.7851","-3.02%"
"May 12","1.8661","1.7566","1.8720","1.7500","6.24%"
"Apr 12","1.7565","1.7799","1.8182","1.7501","-1.46%"
"Mar 12","1.7825","1.7509","1.8270","1.7470","1.91%"
"Feb 12","1.7491","1.7766","1.7855","1.7330","-1.59%"
"Jan 12","1.7773","1.8829","1.9012","1.7632","-5.71%"
"Dec 11","1.8850","1.8284","1.9240","1.8090","3.04%"
"Nov 11","1.8294","1.7716","1.8920","1.7400","3.30%"
"Oct 11","1.7710","1.8573","1.9101","1.7398","-4.78%"
"Sep 11","1.8599","1.7143","1.8700","1.7088","8.37%"
"Aug 11","1.7162","1.6912","1.8117","1.6664","1.63%"
"Jul 11","1.6887","1.6226","1.7352","1.6037","4.20%"
"Jun 11","1.6206","1.5934","1.6525","1.5645","1.68%"
"May 11","1.5939","1.5206","1.6138","1.5143","4.79%"
"Apr 11","1.5211","1.5447","1.5515","1.4975","-1.57%"
"Mar 11","1.5454","1.5990","1.6216","1.5334","-3.33%"
"Feb 11","1.5986","1.6041","1.6165","1.5650","-0.37%"
"Jan 11","1.6045","1.5370","1.6193","1.5255","4.06%"
"Dec 10","1.5419","1.5090","1.5722","1.4692","2.46%"
"Nov 10","1.5049","1.4301","1.5130","1.3838","5.02%"
"Oct 10","1.4330","1.4453","1.4575","1.3845","-1.05%"
"Sep 10","1.4482","1.5259","1.5318","1.4422","-5.14%"
"Aug 10","1.5267","1.5059","1.5409","1.4852","1.26%"
"Jul 10","1.5077","1.5824","1.5913","1.5008","-4.99%"
"Jun 10","1.5869","1.5766","1.6227","1.5447","0.81%"
"May 10","1.5741","1.4844","1.6083","1.4801","5.67%"
"Apr 10","1.4897","1.5140","1.5227","1.4665","-1.94%"
"Mar 10","1.5192","1.5467","1.5541","1.5078","-1.78%"
"Feb 10","1.5467","1.4977","1.5693","1.4752","3.32%"
"Jan 10","1.4970","1.4956","1.5043","1.4417","-0.21%"
